trait,runNum,Tmax,Precip,Ca,Ccwd,Cdoc1,Cdoc2,Cl,Cr,Cs1,Cs2,Cs3,Cs4,Cw,Cwmin,Ds1,Ds3,Ds4,GPP,LCE/NEE,LCT1,LCT2,Ls1,Ls3,NEE,NPP,Q1,Q2,Ra,Rhdoc,Rhdoc2,Rr,Rs1,Rs3,SumD,SumLdoc,SumRSoil,T,W1,W2
20,13,15,75,774684.0616,6.733809748,3.486796189,0.90634869,52.81643836,402.6560606,1.580723993,50.80555489,164.8059402,2047.028045,4915.688871,4900.863479,213.4767753,84.21583543,74.71652365,745.510061,-1.060845414,12.73031698,1.699032334,85.39071012,0.008421584,-13.60174548,380.4008339,31.03864935,11.42918125,360.4905301,63.24990138,15.14574521,0,84.24475771,9.596234605,42.4678306,14.42934931,366.7990884,32.5331694,8.667490719,5.868603528
20,14,15,100,1196071.609,9.769813146,4.208700051,1.219215251,52.81643836,584.2860458,2.083317127,67.9536652,208.4544548,2527.320044,7131.976329,7114.04045,281.351978,106.5202264,92.24718161,897.4512731,-1.043854964,20.66573056,2.591127933,112.5407912,0.010652023,-22.27977956,504.6254283,45.76283249,15.51742031,386.1072261,78.17077941,21.05292326,0,113.7346315,14.28503551,61.2802528,23.25685849,482.3456487,38.7197472,8.770266283,6.780646497
20,15,15,125,1667295.728,11.6845855,4.369376228,1.467799597,52.81643836,698.4757803,2.399309568,78.74172452,234.9097627,2787.762382,8529.757235,8510.306205,324.0267571,120.0388887,101.7533269,993.0167171,-1.036435888,29.78669877,4.025119297,129.6107028,0.012003889,-32.62316411,582.7285288,61.90625168,21.18845843,402.2619932,81.95388886,25.4536474,0,132.0548445,18.24736507,83.0947101,33.81181807,550.1053647,41.9032899,8.844927184,7.766850467
20,16,15,150,2123931.489,13.767311,4.622888201,1.585972466,52.81643836,823.0334435,2.743975536,90.50226371,263.8508848,3073.908069,10050.14956,10028.46561,370.5738961,134.8278022,112.1976445,1097.224443,-1.031551864,40.41653184,4.652425437,148.2295584,0.01348278,-43.69044236,667.9187584,79.15671656,25.40324345,419.8356681,88.10442213,28.46168363,0,152.7396385,22.54000498,104.55996,45.06895727,624.2283161,45.44203999,8.878481434,8.458997907
20,17,15,175,2557543.835,15.85137662,4.756856757,1.902588172,52.81643836,947.6780125,3.088878647,102.2707914,290.2474191,3295.846011,11571.52029,11547.41498,417.1530612,148.3164312,120.2983794,1201.509976,-1.028597375,50.06004527,6.576672819,166.8612245,0.014831643,-55.06208692,753.1676678,92.74289025,33.33750856,437.4212864,91.43189771,33.99580917,0,173.6208242,27.88281633,126.0803988,56.63671809,698.1055809,48.91760119,8.943472746,9.526834888
20,18,15,200,2995508.88,16.52116782,4.515993586,1.785428056,52.81643836,987.754514,3.199782105,106.0545797,299.9977622,3403.881862,12060.46906,12036.08511,432.1305733,153.2988565,124.241688,1235.019301,-1.02664894,63.22535029,6.244318938,172.8522293,0.015329886,-67.66643056,780.5792223,117.2138501,33.79199588,443.0710978,87.10494922,32.22848882,0,180.4920077,28.90434299,151.005846,69.46966922,712.9127917,48.99115405,8.941259639,9.602887445
20,19,15,225,3156314.074,17.41152403,4.452751791,1.940251106,52.81643836,1041.025724,3.347191324,111.0839684,309.9459342,3470.392805,12710.43064,12685.20687,452.0381883,158.3823724,126.6693374,1279.581455,-1.027156006,69.5787248,7.273630967,180.8152753,0.015838237,-74.82052905,817.0139334,137.1310209,38.2729128,450.5834892,86.43493647,34.39022002,0,189.7159335,31.54384493,175.4039337,76.85235577,742.1934043,49.59206628,8.982897332,10.24286477
20,20,15,250,3470385.788,18.17542325,4.362876997,1.767163192,52.81643836,1086.682762,3.47352884,115.395329,323.9411444,3602.552125,13268.0776,13241.94704,469.1000699,165.5339248,131.4931525,1317.785376,-1.026200962,81.94491265,6.561651323,187.640028,0.016553392,-86.24681449,848.2405178,160.5159035,39.58893151,457.0293482,84.93165266,31.88131829,0,195.8379107,33.85062719,200.104835,88.50656398,761.9937033,49.89516502,8.98283849,10.42308985
20,22,18,50,248224.3698,1.797142322,1.936415147,0.393073121,54.88767123,107.3285562,0.773818271,23.20517744,77.42985783,987.9548899,1311.91373,1301.815591,104.5041576,39.56665735,36.06035348,575.3345291,-1.209757858,3.980405414,0.377655992,41.80166303,0.003956666,-3.602424548,180.7325772,18.82933667,5.509756576,393.1956567,34.85896104,6.137717451,0,42.70725927,3.757437259,24.33909325,4.358061405,177.1301527,25.65690675,8.535505419,4.415300614
20,23,18,75,611227.4247,5.57199426,2.943226902,0.715655641,54.88767123,333.2405945,1.388580863,44.24850544,126.125181,1556.03558,4067.563172,4054.039076,187.5278455,64.4499675,56.79529867,767.3936582,-1.084330506,10.07247152,1.257850533,75.01113821,0.006444997,-10.44914073,332.91051,31.68316176,10.05572694,430.0567175,57.93616021,12.31537934,0,79.92317126,7.805648154,41.7388887,11.33032205,322.4613693,33.2631113,8.658070281,5.545370384
